Type,Code,Account Name
Bank and Cash,1101.02,QRIS
Bank and Cash,1101.03,OVO
Bank and Cash,1101.04,GOPAY
Bank and Cash,1101.05,SHOPEE PAY
Aktiva Terkini,1103.06,Outstanding Receipts
Piutang,1102.04,Piutang Usaha (PoS)
Aktiva Terkini,1103.08,Bank Suspense Account
Aktiva Terkini,1103.09,Opening Inventory Balance
Ekuitas,3101.04,Opening Balance Equity
