Favorit,Nama,Referensi Internal,Harga Jual,Modal,Kuantitas Di Tangan,Forecasted Quantity,Unit Pembelian,Dekorasi Pengecualian Aktivitas,Dibuat oleh,ID Eksternal
False,PEMANTIK PORTABLE,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_491_b55cbe7d
False,PEMBUNGKUS NASI PUTIH,,1,0,0,0,BKS @100LBR,,KEUANGAN,__export__.product_template_464_25d745ce
False,PENJEPIT AYAM,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_492_4fbb9936
False,PIPET,,1,0,0,0,BKS @360PCS,,KEUANGAN,__export__.product_template_465_82e9f26d
False,PIRING ROTAN,,1,0,0,0,LSN @12PCS,,KEUANGAN,__export__.product_template_478_c1aaeb5f
False,PLASTIK KLIP 8X5,,1,0,0,0,PACK @10BKS-100 LEMBAR,,KEUANGAN,__export__.product_template_466_5552af81
False,PLASTIK PUTIH TAKEAWAY UK. 15,,1,0,0,0,IKAT @5BKS.50LBR,,KEUANGAN,__export__.product_template_467_66b4f189
False,PLASTIK PUTIH TAKEAWAY UK. 24,,1,0,0,0,IKAT @10BKS.50LBR,,KEUANGAN,__export__.product_template_468_d434a426
False,PLASTIK PUTIH TAKEAWAY UK. 28,,1,0,0,0,BKS @50LBR,,KEUANGAN,__export__.product_template_469_1b3d10b3
False,PLASTIK SAMPAH 90 X 120,,1,0,0,0,BKS @5LBR,,KEUANGAN,__export__.product_template_501_243018a4
False,PLASTIK SEGEPOK,,1,0,0,0,BKS @50LBR,,KEUANGAN,__export__.product_template_470_2dffbe5b
False,REGULATOR DEEP FRYER,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_489_92098808
False,REGULATOR HIGH PRESSURE,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_490_5567bd8d
False,RINSO,,1,0,0,0,BKS @380GRM,,KEUANGAN,__export__.product_template_504_376c4180
False,ROLL CUP PRESS,,1,0,0,0,ROLL @2000PCS,,KEUANGAN,__export__.product_template_471_a28e983b
False,ROLL KASIR BESAR,,1,0,0,0,BKS @5PCS,,KEUANGAN,__export__.product_template_480_6dcf4ec8
False,ROLL KASIR KECIL,,1,0,0,0,BKS @10PCS,,KEUANGAN,__export__.product_template_481_1e3790aa
False,ROLL KASIR SEDANG,,1,0,0,0,BKS @10PCS,,KEUANGAN,__export__.product_template_482_98acc332
False,SABUN COLEK,,1,0,0,0,BKS @380GRM,,KEUANGAN,__export__.product_template_510_27200c61
False,SAMBAL IJO PADANG,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_432_e070657f
False,SAMBAL KOREK SURABAYA,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_434_552b80c6
